elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
480.9,1,3,15226,15226.0,15226.0,0.0,1.0,7613.0,76,52297959,0.0,0.9722,0.5373,5,0.7571,18561.0,29.29,45.03,15.3,1231.7
484.5,1,3,16608,16608.0,16608.0,0.0,1.0,8304.0,61,53182283,3.5,0.9351,0.5309,5,0.725,20612.5,31.93,49.53,20.0,1231.7
488.5,1,3,17785,17785.0,17785.0,0.0,1.0,8892.5,61,53944225,0.0,0.9046,0.5275,5,0.725,22153.5,4.48,5.81,14.7,1231.7
492.9,1,3,19790,19790.0,19790.0,0.0,1.0,9895.0,61,55124129,0.0,0.838,0.5444,5,0.725,25159.5,3.39,3.74,15.7,1231.7
498.9,1,3,33735,33735.0,33735.0,0.0,1.0,16867.5,68,63182802,8.5,1.3382,0.5635,5,0.62,27176.0,41.38,61.29,15.7,1231.7
503.2,1,3,35055,35055.0,35055.0,0.0,1.0,17527.5,68,63948016,0.0,1.3205,0.5841,5,0.62,29156.0,31.86,63.49,15.8,1231.7
507.2,1,3,36292,36292.0,36292.0,0.0,1.0,18146.0,68,64660540,0.5,1.3013,0.6034,5,0.62,31134.0,28.48,39.84,13.2,1231.7
511.6,1,3,37677,37677.0,37677.0,0.0,1.0,18838.5,68,65449891,0.0,1.2847,0.8078,5,0.62,32936.0,3.19,4.7,12.4,1231.7
515.1,1,3,38125,38125.0,38125.0,0.0,1.0,19062.5,53,65747145,0.5,1.2822,0.8106,6,0.6774,33612.5,3.8,4.73,13.3,1231.7
518.3,1,3,38141,38141.0,38141.0,0.0,1.0,19070.5,53,65771337,0.0,1.2863,0.8101,6,0.6774,33612.5,29.19,69.45,13.3,1231.7
521.6,1,3,35782,35782.0,35782.0,0.0,1.0,17891.0,9,21296441,1.5,1.0668,0.8323,5,0.0,33573.5,4.13,5.67,9.6,1231.7
525.6,1,3,35827,35827.0,35827.0,0.0,1.0,17913.5,10,21363139,0.0,1.075,0.831,5,0.0,33573.5,3.61,4.55,10.1,1231.7
529.7,0,0,35879,35879.0,35879.0,0.0,1.0,17939.5,18,21399130,9.0,1.0822,0.8295,5,0.0,33575.0,5.92,8.41,9.6,1231.7
533.8,0,0,35909,35909.0,35909.0,0.0,1.0,17954.5,20,21431421,1.0,1.0885,0.8289,6,0.0,33575.0,3.6,4.47,11.8,1231.9
537.8,0,0,35932,35932.0,35932.0,0.0,1.0,17966.0,20,21466197,0.0,1.093,0.8283,6,0.0,33575.0,4.32,5.81,16.5,1231.9
541.9,0,0,35936,35936.0,35936.0,0.0,1.0,17968.0,20,21469417,0.0,1.0934,0.8286,6,0.0,33576.5,3.93,5.24,8.3,1231.9
546.0,0,0,35352,35352.0,35352.0,0.0,1.0,17676.0,16,20598832,0.0,0.9966,0.8352,6,0.0,33576.0,3.19,4.02,7.6,1231.9
550.0,0,0,35351,35351.0,35351.0,0.0,1.0,17675.5,15,20598739,0.0,0.9963,0.8353,6,0.0,33576.0,3.79,5.1,7.6,1231.9
554.1,0,0,35352,35352.0,35352.0,0.0,1.0,17676.0,15,20598837,0.5,0.9966,0.8367,6,0.0,33576.0,3.93,4.48,7.4,1231.9
558.1,0,0,22445,22445.0,22445.0,0.0,1.0,11222.5,3,13065957,0.0,0.0285,0.9925,3,0.0,11192.0,3.93,5.14,8.6,1231.9
562.2,0,0,160,160.0,160.0,0.0,1.0,80.0,4,217483,0.0,0.6033,0.9142,3,0.0,213.0,3.8,4.58,9.1,1232.0
566.3,0,0,254,254.0,254.0,0.0,1.0,127.0,6,355413,0.0,0.5079,0.937,4,0.0,349.5,5.33,7.39,8.4,1232.0
570.3,0,0,338,338.0,338.0,0.0,1.0,169.0,5,492319,0.0,0.3024,0.9605,4,0.0,486.0,2.84,3.35,8.4,1232.0
574.4,0,0,430,430.0,430.0,0.0,1.0,215.0,6,631423,0.5,0.2493,0.9735,4,0.0,624.0,5.1,5.84,7.9,1227.1
578.5,0,0,687,687.0,687.0,0.0,1.0,343.5,8,2591433,1.0,0.7782,0.8571,4,0.0,873.0,3.72,4.83,8.1,1227.2
582.5,0,0,998,998.0,998.0,0.0,1.0,499.0,6,7545664,0.0,1.0969,0.7365,4,0.0,1101.0,3.29,3.95,8.6,1227.2
586.6,0,0,1313,1313.0,1313.0,0.0,1.0,656.5,4,12507170,0.0,1.2115,0.6778,3,0.0,1335.0,5.12,8.01,7.6,1227.2
590.7,0,0,1657,1657.0,1657.0,0.0,1.0,828.5,8,17472085,2.0,1.2918,0.6367,3,0.5,1582.5,3.08,3.6,8.4,1227.2
594.7,0,0,1985,1985.0,1985.0,0.0,1.0,992.5,10,22296321,0.0,1.3419,0.6053,3,0.5,1827.5,5.24,6.49,8.4,1227.3
598.8,0,0,2337,2337.0,2337.0,0.0,1.0,1168.5,10,27670701,0.0,1.371,0.5875,3,0.5,2059.5,3.6,4.77,7.1,1229.4
