elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
50.3,0,0,3398,3398.0,3398.0,0.0,1.0,1699.0,11,85937589,0.5,1.7422,0.4308,7,0.0,2194.5,4.37,4.77,8.1,1189.3
54.3,0,0,3696,3696.0,3696.0,0.0,1.0,1848.0,9,92847671,0.0,1.8027,0.3958,6,0.0,2194.5,3.28,3.55,7.4,1189.3
58.4,0,0,3992,3992.0,3992.0,0.0,1.0,1996.0,9,99626717,0.0,1.8435,0.3453,6,0.0,1258.5,4.52,5.86,6.9,1189.4
62.5,0,0,1967,1967.0,1967.0,0.0,1.0,983.5,7,43895869,1.0,1.4804,0.5165,4,0.3333,1524.0,70.17,81.16,7.3,1189.4
66.6,0,0,2503,2503.0,2503.0,0.0,1.0,1251.5,42,51128936,17.5,1.7022,0.4751,4,0.3333,1767.0,21.67,28.04,15.8,1190.5
72.5,1,1,5652,5652.0,5652.0,0.0,1.0,2826.0,43,59272270,21.5,1.804,0.4116,4,0.6667,3475.0,30.89,57.81,15.0,1190.8
76.0,1,1,8436,8436.0,8436.0,0.0,1.0,4218.0,57,68396366,7.0,1.7354,0.4377,5,0.64,5433.0,4.94,6.84,14.3,1190.8
81.4,1,1,8831,8831.0,8831.0,0.0,1.0,4415.5,61,76131769,2.0,1.7641,0.4331,5,0.7097,5632.5,25.02,65.8,13.6,1190.8
84.6,1,1,9284,9284.0,9284.0,0.0,1.0,4642.0,69,83599891,4.0,1.7852,0.4178,5,0.7097,5770.5,3.41,3.93,14.7,1193.5
88.6,1,1,9666,9666.0,9666.0,0.0,1.0,4833.0,69,92260267,1.5,1.8075,0.3929,5,0.6667,5916.5,22.77,39.11,16.9,1193.5
93.0,1,1,9935,9935.0,9935.0,0.0,1.0,4967.5,82,98121987,6.5,1.8216,0.3756,6,0.6667,6014.0,16.58,37.65,14.9,1194.8
97.1,1,1,10134,10134.0,10134.0,0.0,1.0,5067.0,83,102008065,0.5,1.8322,0.3869,6,0.76,6530.5,3.7,5.3,10.9,1194.8
101.4,1,1,10343,10343.0,10343.0,0.0,1.0,5171.5,87,104000384,1.0,1.8875,0.418,6,0.76,7670.5,3.74,4.39,16.8,1194.8
105.2,1,1,10485,10485.0,10485.0,0.0,1.0,5242.5,87,105682768,0.0,1.9141,0.4327,6,0.76,8296.5,3.4,4.06,13.6,1194.8
108.8,1,1,19493,19493.0,19493.0,0.0,1.0,9746.5,50,112102792,4.5,1.4727,0.4317,5,0.7027,6134.0,3.37,3.53,14.1,1194.8
112.4,1,1,20286,20286.0,20286.0,0.0,1.0,10143.0,50,113912942,0.0,1.4649,0.4395,5,0.7027,6471.0,18.09,25.21,23.7,1194.8
116.1,1,1,20649,20649.0,20649.0,0.0,1.0,10324.5,50,115704617,0.0,1.474,0.4973,5,0.7027,6591.5,5.45,7.9,16.8,1194.8
119.6,1,1,21925,21925.0,21925.0,0.0,1.0,10962.5,52,117591257,1.0,1.4375,0.5157,6,0.7027,7197.5,3.97,5.38,14.6,1194.8
123.0,1,1,19626,19626.0,19626.0,0.0,1.0,9813.0,47,22186438,0.0,0.9519,0.7023,6,0.7027,7791.5,5.47,9.78,12.2,1194.8
127.0,1,1,20987,20987.0,20987.0,0.0,1.0,10493.5,64,24553457,8.5,0.9379,0.7057,6,0.7736,8406.0,2.63,3.71,13.9,1194.8
130.6,1,1,22472,22472.0,22472.0,0.0,1.0,11236.0,64,26764016,0.0,0.9214,0.7317,6,0.7736,9083.0,4.77,7.47,12.2,1194.8
134.0,1,1,22892,22892.0,22892.0,0.0,1.0,11446.0,65,27751885,1.5,0.7654,0.7775,6,0.7736,9606.0,4.64,5.97,16.8,1194.8
137.7,1,1,24277,24277.0,24277.0,0.0,1.0,12138.5,65,30177757,1.0,0.771,0.7739,6,0.7736,10217.5,32.42,66.82,14.2,1194.8
141.3,1,1,25731,25731.0,25731.0,0.0,1.0,12865.5,81,32491503,9.0,0.7696,0.7726,6,0.8261,10876.0,3.79,4.51,15.9,1194.8
145.0,1,1,26731,26731.0,26731.0,0.0,1.0,13365.5,81,34449017,1.0,0.785,0.7672,6,0.8261,11298.0,9.43,10.43,15.0,1194.8
148.3,1,1,26904,26904.0,26904.0,0.0,1.0,13452.0,83,35917657,1.0,0.8185,0.7542,6,0.8261,11298.0,3.46,4.91,15.8,1194.8
